query,src_folder,src_dialect,tgt_dialect,level,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error
string_aggregation,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.725,
string_aggregation,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.912,
jsonb_operations,postgresql,postgres,postgres,intermediate,55,medium,True,True,True,2.227,
jsonb_operations,postgresql,postgres,mysql,intermediate,55,medium,True,True,False,0.946,
jsonb_operations,postgresql,postgres,tsql,intermediate,55,medium,True,True,False,0.982,
jsonb_operations,postgresql,postgres,oracle,intermediate,55,medium,True,True,False,0.837,
jsonb_operations,postgresql,postgres,snowflake,intermediate,55,medium,True,True,False,1.117,
array_operations,postgresql,postgres,postgres,intermediate,30,medium,True,True,True,0.682,
array_operations,postgresql,postgres,mysql,intermediate,30,medium,True,True,True,0.437,
array_operations,postgresql,postgres,tsql,intermediate,30,medium,True,True,True,0.441,
array_operations,postgresql,postgres,oracle,intermediate,30,medium,True,True,True,0.533,
array_operations,postgresql,postgres,snowflake,intermediate,30,medium,True,True,True,0.986,
date_truncation,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.393,
date_truncation,postgresql,postgres,mysql,intermediate,40,medium,True,True,False,1.144,
date_truncation,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,1.068,
date_truncation,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,1.128,
date_truncation,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,1.929,
self_join,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.486,
self_join,postgresql,postgres,mysql,intermediate,40,medium,True,True,True,0.803,
self_join,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,0.775,
self_join,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.612,
self_join,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.847,
union_queries,postgresql,postgres,postgres,intermediate,30,medium,True,True,True,1.215,
union_queries,postgresql,postgres,mysql,intermediate,30,medium,True,True,True,0.815,
union_queries,postgresql,postgres,tsql,intermediate,30,medium,True,True,True,1.226,
union_queries,postgresql,postgres,oracle,intermediate,30,medium,True,True,True,0.849,
union_queries,postgresql,postgres,snowflake,intermediate,30,medium,True,True,True,1.397,
exists_clause,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.473,
exists_clause,postgresql,postgres,mysql,intermediate,40,medium,True,True,True,0.724,
exists_clause,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,0.897,
exists_clause,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,1.162,
exists_clause,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,1.216,
window_lead_lag,postgresql,postgres,postgres,intermediate,50,medium,True,True,True,1.418,
window_lead_lag,postgresql,postgres,mysql,intermediate,50,medium,True,True,False,1.008,
window_lead_lag,postgresql,postgres,tsql,intermediate,50,medium,True,True,False,1.027,
window_lead_lag,postgresql,postgres,oracle,intermediate,50,medium,True,True,True,0.815,
window_lead_lag,postgresql,postgres,snowflake,intermediate,50,medium,True,True,True,1.767,
cross_join,postgresql,postgres,postgres,intermediate,25,medium,True,True,True,0.85,
cross_join,postgresql,postgres,mysql,intermediate,25,medium,True,True,True,0.503,
cross_join,postgresql,postgres,tsql,intermediate,25,medium,True,True,True,0.489,
cross_join,postgresql,postgres,oracle,intermediate,25,medium,True,True,True,0.441,
cross_join,postgresql,postgres,snowflake,intermediate,25,medium,True,True,True,0.587,
full_outer_join,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,0.724,
full_outer_join,postgresql,postgres,mysql,intermediate,35,medium,True,True,False,1.172,
full_outer_join,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,0.625,
full_outer_join,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.82,
full_outer_join,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.821,
extract_date_parts,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.078,
extract_date_parts,postgresql,postgres,mysql,intermediate,40,medium,True,True,True,0.609,
