dataset,score_quantile,threshold,flagged,review_workload_pct,precision,recall,f1,fpr
D1,0.8266666666666667,0.42421932260023926,8754,17.334653465346534,0.22115604295179347,0.7750200160128102,0.3441166014930679,0.14203574851047873
D1,0.8470833333333333,0.4704456553780092,7723,15.293069306930693,0.24511200310760067,0.7578062449959968,0.3704138538303493,0.12145327278030082
D1,0.8674999999999999,0.5200819759211898,6692,13.25148514851485,0.27824267782426776,0.745396317053643,0.40522306855277473,0.10062080746635557
D1,0.8879166666666667,0.5715314879183407,5661,11.20990099009901,0.317788376611906,0.7201761409127302,0.4409854148792744,0.08045498104245656
D1,0.9083333333333333,0.6231802933314968,4630,9.168316831683168,0.36868250539956804,0.6833466773418735,0.47895622895622897,0.06089329611266197
D1,0.92875,0.7926988886987282,3602,7.132673267326733,0.42420877290394227,0.611689351481185,0.5009836065573771,0.04320653306112245
D1,0.9491666666666667,0.9240147449051812,2568,5.085148514851485,0.5023364485981309,0.5164131305044035,0.5092775365179629,0.026623890671222034
D1,0.9695833333333334,0.9388925698143866,1537,3.0435643564356436,0.5953155497722836,0.366293034427542,0.45353159851301117,0.012957793425273947
D1,0.99,0.9531009870554993,505,1.0,0.7267326732673267,0.14691753402722177,0.24442224442224442,0.0028748802133244447
D2,0.5,0.29995430498318876,101074,50.03663366336634,0.08042622237172764,0.8129,0.14637088787655078,0.48408854166666665
D2,0.5204166666666666,0.3049005398538626,96935,47.98762376237624,0.0829009129829267,0.8036,0.150296909337448,0.463015625
D2,0.5408333333333333,0.3098613485823295,92752,45.91683168316832,0.08586337760910816,0.7964,0.1550140143257552,0.4416041666666667
D2,0.56125,0.315248379367999,88637,43.87970297029703,0.08890192583232735,0.788,0.15977777101898882,0.420609375
D2,0.5816666666666667,0.320301937437105,84503,41.83316831683168,0.09228074742908536,0.7798,0.16503179793234077,0.3995052083333333
D2,0.6020833333333333,0.3260734308022095,80379,39.791584158415844,0.09621916172134513,0.7734,0.17114595204638244,0.378359375
D2,0.6225,0.33216548403258317,76255,37.75,0.10045242934889516,0.766,0.17761289200626051,0.357265625
D2,0.6429166666666667,0.33808450500248266,72140,35.71287128712871,0.10492098696978099,0.7569,0.18429510591672754,0.3363072916666667
D2,0.6633333333333333,0.346973178004592,68007,33.66683168316832,0.11001808637346155,0.7482,0.19182893842860257,0.315234375
D2,0.68375,0.35808996000600796,63883,31.625247524752474,0.11583676408434168,0.74,0.2003167169714278,0.29418229166666665
D2,0.7041666666666666,0.37204578790646986,59759,29.583663366336634,0.1218895898525745,0.7284,0.20883326882552788,0.2733072916666667
D2,0.7245833333333334,0.38422937511140964,55634,27.54158415841584,0.12938131358521768,0.7198,0.21933753847091447,0.25227083333333333
D2,0.745,0.40051265718967854,51510,25.5,0.1384779654436032,0.7133,0.23192976751747682,0.23113020833333334
D2,0.7654166666666666,0.41461834193995367,47386,23.45841584158416,0.1486726037226185,0.7045,0.2455302687066532,0.210109375
D2,0.7858333333333334,0.4404337638500103,43262,21.41683168316832,0.16092644815311358,0.6962,0.2614246554767001,0.1890625
D2,0.80625,0.46594557883664156,39138,19.375247524752474,0.17581378711226942,0.6881,0.2800683788513981,0.16800520833333332
D2,0.8266666666666667,0.5054030733778391,35014,17.333663366336634,0.19400811104129775,0.6793,0.3018172124228018,0.146984375
D2,0.8470833333333333,0.5639180665342329,30890,15.292079207920793,0.21686629977338945,0.6699,0.3276595744680851,0.12599479166666666
D2,0.8674999999999999,0.6354839913560817,26765,13.25,0.24300392303381282,0.6504,0.35381476948184415,0.10552604166666667
D2,0.8879166666666667,0.7029935400044072,22641,11.20841584158416,0.25436155646835384,0.5759,0.3528690910204957,0.08792708333333334
D2,0.9083333333333333,0.7495128846235247,18517,9.166831683168317,0.24647621104930603,0.4564,0.3200897710137813,0.072671875
D2,0.92875,0.8003928612586011,14393,7.125247524752475,0.23546168276245397,0.3389,0.2778666010740786,0.0573125
D2,0.9491666666666667,0.8553782397371056,10269,5.0836633663366335,0.2393611841464602,0.2458,0.24253786570625094,0.04068229166666667
D2,0.9695833333333334,0.9122277255977204,6145,3.042079207920792,0.2096013018714402,0.1288,0.15955404149891608,0.025296875
D2,0.99,0.9427277659452367,2020,1.0,0.25693069306930694,0.0519,0.08635607321131447,0.007817708333333333
