query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
date_truncation,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
self_join,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
self_join,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
self_join,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
self_join,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
self_join,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
union_queries,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
union_queries,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,,
union_queries,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,,
union_queries,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
union_queries,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
exists_clause,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
exists_clause,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
exists_clause,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
exists_clause,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
exists_clause,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
window_lead_lag,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
window_lead_lag,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,,
window_lead_lag,postgresql,postgres,tsql,intermediate,medium,True,False,False,False,,
window_lead_lag,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
window_lead_lag,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
cross_join,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
cross_join,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,,
cross_join,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,,
cross_join,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
cross_join,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
full_outer_join,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
full_outer_join,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,,
full_outer_join,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,,
full_outer_join,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
full_outer_join,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
extract_date_parts,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
extract_date_parts,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
extract_date_parts,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
extract_date_parts,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
extract_date_parts,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
conditional_aggregation,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
conditional_aggregation,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
conditional_aggregation,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
conditional_aggregation,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
conditional_aggregation,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
row_number_pagination,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
row_number_pagination,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,,
row_number_pagination,postgresql,postgres,tsql,intermediate,medium,True,False,False,False,,
row_number_pagination,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
row_number_pagination,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
regexp_matching,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
