query,src_folder,src_dialect,tgt_dialect,level_x,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error,name,level_y,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
max_min_aggregate,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.422,,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
max_min_aggregate,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.403,,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
max_min_aggregate,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.509,,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
having_clause,postgresql,postgres,postgres,basic,25,easy,True,True,True,0.824,,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
having_clause,postgresql,postgres,mysql,basic,25,easy,True,True,True,0.487,,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
having_clause,postgresql,postgres,tsql,basic,25,easy,True,True,True,0.521,,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
having_clause,postgresql,postgres,oracle,basic,25,easy,True,True,True,0.488,,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
having_clause,postgresql,postgres,snowflake,basic,25,easy,True,True,True,0.626,,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
basic_delete,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.567,,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_delete,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.347,,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_delete,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.366,,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_delete,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.556,,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_delete,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.856,,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
create_table_basic,postgresql,postgres,postgres,basic,30,easy,True,True,True,1.658,,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
create_table_basic,postgresql,postgres,mysql,basic,30,easy,True,True,True,0.769,,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
create_table_basic,postgresql,postgres,tsql,basic,30,easy,True,True,True,0.888,,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
create_table_basic,postgresql,postgres,oracle,basic,30,easy,True,True,True,0.775,,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
create_table_basic,postgresql,postgres,snowflake,basic,30,easy,True,True,False,0.623,,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
alter_table_add_column,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.525,,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
alter_table_add_column,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.268,,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
alter_table_add_column,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.263,,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
